district,area,ring_road,property,address,completion_year,total_units,volume_rate,layout,size_sqm,total_price,unit_price
前滩,浦东,中环,晶耀名邸,东育路202弄,2018,624,2.5,3室2厅,98,1350,137755
前滩,浦东,中环,晶耀名邸,东育路202弄,2018,624,2.5,2室2厅,82,1150,140244
前滩,浦东,中环,东方悦耀,海阳西路128弄,2020,632,3.2,2室1厅,51,780,152941
大宁,静安,中环,静安府,汶水路699弄,2020,1164,2.65,3室2厅,95,950,100000
大宁,静安,中环,静安府,汶水路699弄,2020,1164,2.65,4室2厅,135,1500,111111
大宁,静安,中环,大宁金茂府,彭江路366弄,2017,771,2.5,3室2厅,110,1350,122727
大宁,静安,中环,宝华现代城,广延路1188弄,2012,882,2.5,2室2厅,87,750,86207
徐汇滨江,徐汇,内环,百汇园,龙恒东路18弄,2019,1236,2.8,3室2厅,120,1800,150000
徐汇滨江,徐汇,内环,尚海湾豪庭,龙腾大道2180号,2017,3256,3.5,2室2厅,89,1200,134831
唐镇,浦东,外环,仁恒东郊花园,玉盘北路288弄,2018,1053,1.6,3室2厅,98,780,79592
唐镇,浦东,外环,绿城玉兰花园,齐爱路99弄,2016,1143,1.5,4室2厅,140,1250,89286
唐镇,浦东,外环,大名城紫金九号,顾唐路138弄,2020,711,2.0,3室2厅,89,700,78652
